frame,marker,x,y,z
0,HeadTop,-792.9149669677164,720.9439823386944,4077.6959848686242
0,HeadFront,-792.9149699314506,720.9439739068818,4077.6960033879745
0,HeadSide,-792.9149858429992,720.9440072176442,4077.69600412154
0,BackTop,-792.9150027910272,720.9439647752583,4077.696102752675
0,Chest,-792.9150175181406,720.9439775254594,4077.6961261314214
0,BackLeft,-792.9150817408274,720.9441952786574,4077.6960244116563
0,BackRight,-792.9150706729458,720.9440329848227,4077.6961986391116
0,WaistLFront,-792.9150404136486,720.9439422022652,4077.696231685254
0,WaistRFront,-792.9150726793863,720.944021660309,4077.69621821826
0,WaistLBack,-792.9150327175429,720.9439257812686,4077.6962317173047
0,WaistRBack,-792.9151236359511,720.9440217397622,4077.6963543088727
0,LShoulderBack,-792.9149593755517,720.9439655869845,4077.6959855944533
0,RShoulderBack,4870396.386574086,2287506.493252771,1827209.8582353117
0,LShoulderTop,-792.9149785174749,720.9439406203287,4077.696068155122
0,RShoulderTop,-792.9150112376408,720.9440270227922,4077.696047182236
0,LElbowOut,-792.9149566784349,720.9438735079383,4077.6960939914734
0,RElbowOut,-792.9150392429622,720.9440939786487,4077.6960379977318
0,LUArmHigh,-792.9149794183472,720.9439037076222,4077.696116904043
0,RUArmHigh,-792.9150398487044,720.9440597640257,4077.696082591046
0,LWristOut,-792.9150813396386,720.9441851506476,4077.6960360639514
0,RWristOut,-792.9150174154736,720.943986997361,4077.6961139652876
0,LWristIn,-792.9149435514503,720.9438146249422,4077.6961327835884
0,RWristIn,-792.9150683516109,720.9441595349206,4077.6960335062013
0,LHandOut,-792.9150874775445,720.9442030374809,4077.6960300077244
0,RHandOut,-792.9149330949969,720.9437836176461,4077.6961437271984
0,LThighFront,-792.9150870485893,720.9439587889403,4077.6963355197126
0,RThighFront,-792.9151134381043,720.9440032450536,4077.696350263858
0,LKneeOut,-792.9151001820335,720.9439533899942,4077.6963773863567
0,RKneeOut,-792.9151257385489,720.9440178050686,4077.6963648635874
0,LShin,-792.9151365252401,720.9439722944381,4077.6964507681146
0,RShin,-792.9151418491463,720.944006308572,4077.6964223279083
0,LAnkleOut,-792.915149384015,720.9439683598595,4077.696490048083
0,RAnkleOut,-792.9151677480028,720.944011014355,4077.6964856042364
0,LToeOut,-792.9151492271388,720.9439602870447,4077.6964997518908
0,RToeOut,-792.915165104879,720.9440025061855,4077.696489215085
0,LToeIn,-792.9151534357005,720.9439718403484,4077.696496504871
1,HeadTop,-792.9149669807896,720.9439824891709,4077.6959847146063
